Edad,ingreso anual,Consumo mensual,Localidad,Deuda,Antigüedad de la deuda (meses)
25,"$ 1.250.000,00 ",305000,zona 1,"$ 24.400,00 ",2
29,"$ 1.200.000,00 ",335000,zona 1,"$ 26.800,00 ",3
30,"$ 1.150.000,00 ",365000,zona 2,"$ 29.200,00 ",1
35,"$ 1.100.000,00 ",395000,zona 3,$ -   ,0
40,"$ 1.050.000,00 ",425000,zona 4,"$ 34.000,00 ",1
42,"$ 1.000.000,00 ",455000,zona 5,"$ 36.400,00 ",2
42,"$ 950.000,00 ",485000,zona 2,"$ 38.800,00 ",3
41,"$ 1.030.000,00 ",515000,zona 3,"$ 41.200,00 ",4
30,"$ 1.110.000,00 ",545000,zona 2,"$ 43.600,00 ",8
25,"$ 1.190.000,00 ",575000,zona 4,"$ 46.000,00 ",15
24,"$ 1.270.000,00 ",335000,zona 1,"$ 26.800,00 ",23
23,"$ 1.350.000,00 ",385000,zona 1,"$ 30.800,00 ",5
26,"$ 1.430.000,00 ",435000,zona 2,"$ 34.800,00 ",8
24,"$ 1.510.000,00 ",485000,zona 3,"$ 38.800,00 ",9
29,"$ 1.250.000,00 ",535000,zona 4,"$ 42.800,00 ",10
43,"$ 1.200.000,00 ",585000,zona 5,"$ 46.800,00 ",8
48,"$ 1.150.000,00 ",635000,zona 2,"$ 50.800,00 ",7
60,"$ 1.100.000,00 ",685000,zona 3,"$ 54.800,00 ",6
50,"$ 1.050.000,00 ",735000,zona 2,"$ 58.800,00 ",5
51,"$ 1.000.000,00 ",785000,zona 4,"$ 62.800,00 ",6
52,"$ 950.000,00 ",835000,zona 1,"$ 66.800,00 ",7
49,"$ 1.030.000,00 ",885000,zona 1,"$ 70.800,00 ",9
48,"$ 1.110.000,00 ",935000,zona 2,"$ 74.800,00 ",2
47,"$ 1.190.000,00 ",985000,zona 3,"$ 78.800,00 ",3
46,"$ 1.270.000,00 ",250000,zona 4,"$ 20.000,00 ",1
45,"$ 1.350.000,00 ",275000,zona 5,$ -   ,0
44,"$ 1.430.000,00 ",245000,zona 2,"$ 19.600,00 ",1
43,"$ 1.510.000,00 ",275000,zona 3,"$ 22.000,00 ",2
42,"$ 950.000,00 ",305000,zona 2,"$ 24.400,00 ",3
28,"$ 1.030.000,00 ",335000,zona 4,"$ 26.800,00 ",4
30,"$ 1.110.000,00 ",365000,zona 1,"$ 29.200,00 ",8
31,"$ 1.190.000,00 ",395000,zona 1,"$ 31.600,00 ",15
32,"$ 1.270.000,00 ",425000,zona 2,$ -   ,0
33,"$ 1.350.000,00 ",455000,zona 3,"$ 36.400,00 ",5
34,"$ 1.430.000,00 ",485000,zona 4,"$ 38.800,00 ",8
35,"$ 1.510.000,00 ",515000,zona 5,"$ 41.200,00 ",9
36,"$ 1.250.000,00 ",545000,zona 2,"$ 43.600,00 ",10
25,"$ 1.200.000,00 ",575000,zona 3,"$ 46.000,00 ",8
29,"$ 1.150.000,00 ",515000,zona 2,"$ 41.200,00 ",7
30,"$ 1.100.000,00 ",545000,zona 4,"$ 43.600,00 ",6
35,"$ 1.250.000,00 ",575000,zona 1,"$ 46.000,00 ",5
40,"$ 1.200.000,00 ",250000,zona 1,$ -   ,0
42,"$ 1.150.000,00 ",275000,zona 2,"$ 22.000,00 ",7
42,"$ 1.100.000,00 ",245000,zona 3,"$ 19.600,00 ",9
41,"$ 1.050.000,00 ",275000,zona 4,"$ 22.000,00 ",2
30,"$ 1.000.000,00 ",305000,zona 5,"$ 24.400,00 ",3
25,"$ 950.000,00 ",335000,zona 2,"$ 26.800,00 ",1
24,"$ 1.030.000,00 ",365000,zona 3,$ -   ,0
23,"$ 1.110.000,00 ",395000,zona 2,"$ 31.600,00 ",1
26,"$ 1.190.000,00 ",425000,zona 4,"$ 34.000,00 ",2
24,"$ 1.270.000,00 ",455000,zona 1,"$ 36.400,00 ",3
29,"$ 1.350.000,00 ",485000,zona 1,"$ 38.800,00 ",4
43,"$ 1.430.000,00 ",515000,zona 2,"$ 41.200,00 ",8
48,"$ 1.510.000,00 ",545000,zona 3,"$ 43.600,00 ",15
